ticker,horizon,model,n_periods,cum_return,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,exposure
AAPL,5,buy_and_hold,756,24.988015888216577,0.24256240153680375,0.27326609789005585,0.9331245270665324,-0.4378194518373828,0.5674603174603174,1.0
AAPL,5,pls,756,5.769286145525312,0.1359769646594018,0.17327585679143018,0.8226879107204809,-0.2659755872646331,0.5763157894736842,0.5026455026455027
AAPL,5,elasticnet,756,4.327703129670463,0.11798506300759848,0.18174421297004975,0.7040354870657,-0.32968083080811283,0.5527065527065527,0.4642857142857143
AAPL,5,ridge,756,3.066737538478929,0.09803557168460308,0.18137957728023024,0.605647050861694,-0.2899475456239149,0.5428571428571428,0.46296296296296297
AAPL,5,hist_mean,756,1.2582316730609637,0.055807071093197935,0.1104929931597146,0.5456092077371727,-0.18611891708830552,0.509090909090909,0.21825396825396826
AAPL,5,huber,756,1.9725962673263973,0.07533156760268489,0.1844997668682412,0.486147063274058,-0.32735697028975363,0.5431034482758621,0.4603174603174603
AAPL,5,lgbm_reg,756,1.645287888944393,0.06700108957074868,0.17066248104777357,0.4653301688437793,-0.36852372572345704,0.5407608695652174,0.48677248677248675
AAPL,5,xgb,756,1.6098738381179092,0.06604278271649067,0.18445927449555435,0.439553181092036,-0.3323217475344349,0.5422343324250681,0.48544973544973546
AAPL,5,lgbm,756,0.503826833689881,0.027574193035215355,0.19203189337259471,0.23804984138397606,-0.43588363293952437,0.5153846153846153,0.5158730158730159
AAPL,5,zero,756,0.0,0.0,0.0,,0.0,,0.0
AAPL,21,hist_mean,180,25.49838176514703,0.24417448331055214,0.2391515517369884,1.0393822575062885,-0.3106338609930851,0.6242038216560509,0.8722222222222222
AAPL,21,buy_and_hold,180,24.988015888216573,0.24256240153680375,0.25538650041963645,0.9841455551410184,-0.36356211286995643,0.6055555555555555,1.0
AAPL,21,pls,180,7.608383416896386,0.15432501393449627,0.22926567832486364,0.7427357702459328,-0.3635621128699563,0.5882352941176471,0.7555555555555555
AAPL,21,xgb,180,6.261288359081079,0.1413028775526517,0.21996468589374557,0.7135686651361809,-0.3154491006418588,0.59375,0.7111111111111111
AAPL,21,huber,180,4.835846125096131,0.12479554825267081,0.22981851162389602,0.6283776185243921,-0.36356211286995643,0.5971223021582733,0.7722222222222223
AAPL,21,lgbm_reg,180,4.072501429443702,0.11433253792044962,0.2213151002180128,0.6014506891421246,-0.36356211286995677,0.5882352941176471,0.7555555555555555
AAPL,21,lgbm,180,3.6915096727272845,0.10854716186882563,0.21951563893056594,0.5813568969519328,-0.31544910064185894,0.5789473684210527,0.7388888888888889
AAPL,21,ridge,180,2.7578602396425387,0.09226841384956641,0.23183868858941659,0.4974108267384833,-0.38093558742008393,0.5714285714285714,0.7777777777777778
AAPL,21,elasticnet,180,2.2655219072875976,0.0820903069605794,0.22901885936577404,0.45961641297872063,-0.41683336480285293,0.5735294117647058,0.7555555555555555
AAPL,21,zero,180,0.0,0.0,0.0,,0.0,,0.0
AAPL,63,buy_and_hold,60,24.988015888216577,0.24256240153680375,0.31065450796259336,0.8604889683421602,-0.36022560166591155,0.6333333333333333,1.0
AAPL,63,hist_mean,60,16.400871642186853,0.209775356543068,0.295956020528458,0.7960204355687202,-0.36022560166591155,0.6206896551724138,0.9666666666666667
AAPL,63,lgbm_reg,60,13.127110254984894,0.19308180424719956,0.2878939717619045,0.760670082584831,-0.36022560166591155,0.631578947368421,0.95
