ticker,horizon,estrategia,n_periods,cum_return,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,exposure
AAPL,5,señales_USD,756,3.922211671440155,0.11210045659669166,0.17366597041922502,0.698098272874188,-0.3626223785303413,0.5552325581395349,0.455026455026455
AAPL,5,señales_MXN,756,5.191544826595911,0.12924090508574126,0.18284783564762694,0.7552669717774492,-0.3651727941248555,0.563953488372093,0.455026455026455
AAPL,5,solo_largos,756,4.383509124964096,0.11876197487735762,0.16765565650848244,0.752603525990187,-0.3626223785303413,0.5598802395209581,0.4417989417989418
AAPL,5,buy_and_hold,756,24.988015888216577,0.24256240153680375,0.27326609789005585,0.9331245270665324,-0.4378194518373828,0.5674603174603174,1.0
AAPL,5,SPY,756,6.1262571709752445,0.13987553548025988,0.1540231891092734,0.9288496678465508,-0.29065425341955875,0.6150793650793651,1.0
AAPL,21,señales_USD,180,4.391128942157868,0.1188674715697009,0.22219096374015504,0.6184340785341097,-0.36356211286995654,0.5869565217391305,0.7666666666666667
AAPL,21,señales_MXN,180,5.805210291782769,0.1363778762647807,0.22526979096436456,0.6811831953142468,-0.410537139582828,0.5942028985507246,0.7666666666666667
AAPL,21,solo_largos,180,6.163729919873087,0.14027415338979488,0.21170743044527957,0.7279932494536938,-0.36356211286995654,0.5939849624060151,0.7388888888888889
AAPL,21,buy_and_hold,180,24.988015888216573,0.24256240153680375,0.25538650041963645,0.9841455551410184,-0.36356211286995643,0.6055555555555555,1.0
AAPL,21,SPY,180,6.12625717097526,0.13987553548025988,0.13523522337768468,1.0419731793269298,-0.22161410494413414,0.7,1.0
AAPL,63,señales_USD,60,10.581843524729573,0.17738503881991252,0.2882103859816064,0.7118006514567006,-0.36022560166591155,0.6111111111111112,0.9
AAPL,63,señales_MXN,60,16.005684649510844,0.20792399395353667,0.27638858277434103,0.8292466553827547,-0.39092171418201693,0.6666666666666666,0.9
AAPL,63,solo_largos,60,10.581843524729573,0.17738503881991252,0.2882103859816064,0.7118006514567006,-0.36022560166591155,0.6111111111111112,0.9
AAPL,63,buy_and_hold,60,24.988015888216577,0.24256240153680375,0.31065450796259336,0.8604889683421602,-0.36022560166591155,0.6333333333333333,1.0
AAPL,63,SPY,60,6.126257170975249,0.13987553548025988,0.13825683285496954,1.0311291404648244,-0.21863093885705487,0.75,1.0
JPM,5,señales_USD,756,0.8417007406695074,0.041552752234848445,0.17066034514750647,0.32374776174430586,-0.41875875253821626,0.5131195335276968,0.4537037037037037
JPM,5,señales_MXN,756,0.4524082156326792,0.02519366322532446,0.17686935065918635,0.2272389971991429,-0.45763619557263846,0.49854227405247814,0.4537037037037037
JPM,5,solo_largos,756,1.9791612253953215,0.07548972881073146,0.14446002366042934,0.5765179334053537,-0.2576147061307771,0.5707762557077626,0.2896825396825397
JPM,5,buy_and_hold,756,9.505672092415628,0.16975503376662338,0.2510982496048751,0.752056850834032,-0.3958708528199649,0.5529100529100529,1.0
JPM,5,SPY,756,6.1262571709752445,0.13987553548025988,0.1540231891092734,0.9288496678465508,-0.29065425341955875,0.6150793650793651,1.0
JPM,21,señales_USD,180,1.0035469995185902,0.04741784551418693,0.2010377211871043,0.3281940223475433,-0.4527629089397094,0.5625,0.6222222222222222
JPM,21,señales_MXN,180,-0.11952324445611384,-0.008450211252681084,0.20288535285418277,0.06329919593049926,-0.6420887524052058,0.5535714285714286,0.6222222222222222
JPM,21,solo_largos,180,3.3944583347164716,0.1037236709981757,0.14839544716147454,0.7382053700103725,-0.19944310652310948,0.75,0.3333333333333333
JPM,21,buy_and_hold,180,9.505672092415626,0.16975503376662338,0.24629225648169897,0.7655999715953866,-0.36374211176090065,0.6444444444444445,1.0
JPM,21,SPY,180,6.12625717097526,0.13987553548025988,0.13523522337768468,1.0419731793269298,-0.22161410494413414,0.7,1.0
JPM,63,señales_USD,60,1.277801904877653,0.05641460514962349,0.2300277084161785,0.3512780723322578,-0.34956971634465095,0.6097560975609756,0.6833333333333333
JPM,63,señales_MXN,60,1.3071973209062628,0.05731805711650795,0.20815440598071713,0.36935524286840504,-0.32230251090178963,0.6097560975609756,0.6833333333333333
JPM,63,solo_largos,60,3.9965669057279287,0.11321260132500455,0.1925720095465506,0.6527018532127372,-0.24737734062289873,0.782608695652174,0.38333333333333336
JPM,63,buy_and_hold,60,9.505672092415622,0.16975503376662338,0.25921543089796417,0.7419479777879374,-0.3637421117609009,0.6666666666666666,1.0
JPM,63,SPY,60,6.126257170975249,0.13987553548025988,0.13825683285496954,1.0311291404648244,-0.21863093885705487,0.75,1.0
MSFT,5,señales_USD,756,1.7650294879005055,0.07015491671934981,0.1257219754453252,0.60164915198005,-0.20445494292723088,0.5789473684210527,0.30158730158730157
MSFT,5,señales_MXN,756,1.7269420852037487,0.06916580659340155,0.12948396329872075,0.5801159383115136,-0.2740314734523501,0.5526315789473685,0.30158730158730157
MSFT,5,solo_largos,756,1.6999818491076222,0.06845783880334877,0.10624834225802561,0.6758587460628932,-0.1331497490445419,0.6257309941520468,0.2261904761904762
MSFT,5,buy_and_hold,756,20.309494177176596,0.2262288866878044,0.22830622058087574,1.0089438118702898,-0.34833611563999756,0.5925925925925926,1.0
MSFT,5,SPY,756,6.1262571709752445,0.13987553548025988,0.1540231891092734,0.9288496678465508,-0.29065425341955875,0.6150793650793651,1.0
MSFT,21,señales_USD,180,2.3863725977118837,0.08471500890736228,0.14019920308177586,0.6498091708231089,-0.18667711837273449,0.6136363636363636,0.4888888888888889
MSFT,21,señales_MXN,180,1.4766878989232533,0.06232667191762564,0.14025888287299232,0.500823877886468,-0.20410307519054438,0.5795454545454546,0.4888888888888889
MSFT,21,solo_largos,180,2.476263649131304,0.08661120840375958,0.11222188002183052,0.7966652331585505,-0.18667711837273426,0.6716417910447762,0.37222222222222223
