ticker,horizon,model,mae_market,mae_sent,ic_market,ic_sent,dir_market,dir_sent,delta_mae,delta_ic,delta_dir
AAPL,5,elasticnet,0.03174370308001338,0.03197903811752231,0.05615112093315775,0.06666147944515045,0.5403439153439153,0.5317460317460317,0.0002353350375089297,0.010510358511992703,-0.008597883597883604
AAPL,5,huber,0.03217254374755121,0.03213777745931908,0.03944228613398477,0.07799784969498326,0.5251322751322751,0.5251322751322751,-3.476628823213118e-05,0.03855556356099849,0.0
AAPL,5,lgbm_reg,0.03145290045863647,0.031459865082340735,0.08475932455141105,0.10536960119750872,0.5548941798941799,0.5304232804232805,6.964623704266981e-06,0.020610276646097672,-0.02447089947089942
AAPL,5,pls,0.031338833295478416,0.03136679771232715,0.101268950186975,0.11953465616994101,0.5582010582010583,0.5588624338624338,2.7964416848734464e-05,0.018265705982966007,0.000661375661375585
AAPL,5,xgb,0.03214477014340016,0.03197667752086448,0.05080798599623074,0.05740636466317231,0.5211640211640212,0.501984126984127,-0.00016809262253568436,0.006598378666941573,-0.019179894179894186
AAPL,21,elasticnet,0.07142029473560269,0.07103589427250781,0.05366586138020821,0.07027760675082824,0.5205026455026455,0.5529100529100529,-0.00038440046309487497,0.016611745370620032,0.03240740740740744
AAPL,21,huber,0.06944591481945857,0.06895287258219507,0.1324192568631346,0.16676158983486214,0.53505291005291,0.5648148148148148,-0.0004930422372634996,0.034342332971727535,0.029761904761904767
AAPL,21,lgbm_reg,0.06671093995588825,0.06645689486461964,0.0458932636725102,0.0815058375613424,0.6038359788359788,0.5687830687830688,-0.0002540450912686121,0.035612573888832204,-0.03505291005291
AAPL,21,pls,0.06696844344212603,0.06723809123314979,0.13067753840531396,0.15952286421500292,0.5747354497354498,0.5727513227513228,0.00026964779102375824,0.02884532580968896,-0.001984126984126977
AAPL,21,xgb,0.0672887346404436,0.06757760410285947,0.1114905295297773,0.08894163393421373,0.5542328042328042,0.5277777777777778,0.00028886946241586664,-0.02254889559556357,-0.026455026455026398
AAPL,63,elasticnet,0.12240809664262227,0.12260503896560807,0.14936760576622124,0.11699555949259488,0.6078042328042328,0.5641534391534392,0.0001969423229857964,-0.03237204627362636,-0.04365079365079361
AAPL,63,huber,0.12690043244671625,0.12733637519234273,0.053746214364557135,0.07530179981728288,0.6025132275132276,0.546957671957672,0.00043594274562647195,0.021555585452725748,-0.05555555555555558
AAPL,63,lgbm_reg,0.12033896076987473,0.11830016126132431,0.05781124076487116,0.10672937768237287,0.6203703703703703,0.6236772486772487,-0.002038799508550418,0.04891813691750171,0.003306878306878369
AAPL,63,pls,0.1205030171835704,0.12004224538124532,0.008999503002940232,0.08204220570879174,0.6144179894179894,0.5793650793650794,-0.0004607718023250801,0.0730427027058515,-0.03505291005291
AAPL,63,xgb,0.12122823209694321,0.11882551289142124,0.1565553517723072,0.15064173484294185,0.6018518518518519,0.5806878306878307,-0.002402719205521972,-0.005913616929365345,-0.021164021164021163
JPM,5,elasticnet,0.03330806871423029,0.0337568936174419,-0.0037368633439239718,-0.027684776148205626,0.4669312169312169,0.458994708994709,0.0004488249032116101,-0.023947912804281653,-0.007936507936507908
JPM,5,huber,0.03281244471284318,0.03295971090721794,-0.007932430583152317,-0.029052228000038025,0.49272486772486773,0.48214285714285715,0.0001472661943747594,-0.02111979741688571,-0.010582010582010581
JPM,5,lgbm_reg,0.030296933919249872,0.030239943548179528,-0.006191618236116158,-0.01784526749583933,0.5324074074074074,0.5317460317460317,-5.699037107034441e-05,-0.011653649259723172,-0.000661375661375696
JPM,5,pls,0.031187206926067856,0.03122587126268294,-0.010493224582006373,-0.03328447933096049,0.49537037037037035,0.5211640211640212,3.866433661508378e-05,-0.022791254748954114,0.025793650793650813
JPM,5,xgb,0.03089457796341796,0.030837598191540732,0.0731382043349656,0.07118237640966074,0.5436507936507936,0.546957671957672,-5.697977187722747e-05,-0.001955827925304854,0.003306878306878369
JPM,21,elasticnet,0.07633179390818962,0.07664838629246822,-0.021160069358935312,-0.027480158252817705,0.49933862433862436,0.5066137566137566,0.0003165923842785995,-0.006320088893882393,0.007275132275132268
JPM,21,huber,0.07340289030143624,0.07485446428280586,-0.037770759371945295,-0.06492598551428642,0.5046296296296297,0.5125661375661376,0.0014515739813696221,-0.02715522614234113,0.007936507936507908
JPM,21,lgbm_reg,0.06181269163272656,0.06086994128229675,0.012510870563190318,0.01897356633634448,0.5522486772486772,0.5615079365079365,-0.0009427503504298093,0.006462695773154163,0.0092592592592593
JPM,21,pls,0.06325796606092943,0.062040769841873955,0.06053133409164943,0.07565394904507111,0.5634920634920635,0.5846560846560847,-0.001217196219055472,0.015122614953421681,0.021164021164021163
JPM,21,xgb,0.0654107554408375,0.0641686961537293,0.01803387276138233,0.01502215291963425,0.5218253968253969,0.5244708994708994,-0.001242059287108202,-0.003011719841748082,0.002645502645502562
JPM,63,elasticnet,0.1413001523129983,0.14925837904798203,-0.027158340141604967,-0.08111078318650634,0.5119047619047619,0.46296296296296297,0.007958226734983725,-0.05395244304490138,-0.0489417989417989
JPM,63,huber,0.13673662373079132,0.14639399264056388,-0.0793715850892939,-0.128395764991551,0.4933862433862434,0.49206349206349204,0.009657368909772562,-0.0490241799022571,-0.0013227513227513366
JPM,63,lgbm_reg,0.11362109857155145,0.11268177863488582,0.03548639313440524,0.03141219199308555,0.5972222222222222,0.6044973544973545,-0.000939319936665628,-0.004074201141319692,0.007275132275132323
JPM,63,pls,0.11727960948673866,0.11721753284594755,-0.03208898825358513,-0.06170709967322865,0.5826719576719577,0.5720899470899471,-6.207664079110886e-05,-0.029618111419643517,-0.010582010582010581
JPM,63,xgb,0.12296425299605768,0.12317207997971355,0.053074795158733035,0.024552995473230994,0.5985449735449735,0.583994708994709,0.00020782698365587327,-0.02852179968550204,-0.014550264550264536
MSFT,5,elasticnet,0.02983915518472358,0.03017497735374599,0.0035539584106755976,-0.03020861871817389,0.5119047619047619,0.49603174603174605,0.00033582216902241016,-0.03376257712884949,-0.015873015873015817
MSFT,5,huber,0.02929032618839976,0.03004697153196201,-0.026685321223326938,-0.043418776404639495,0.5092592592592593,0.49206349206349204,0.0007566453435622518,-0.016733455181312556,-0.017195767195767264
MSFT,5,lgbm_reg,0.028296371991086984,0.028489735379018194,0.03310496091839358,0.015974725962683844,0.5363756613756614,0.5218253968253969,0.00019336338793120994,-0.017130234955709735,-0.014550264550264536
MSFT,5,pls,0.028324592013313776,0.02883394011049936,0.05001340755468996,0.006705381210825533,0.5416666666666666,0.5191798941798942,0.0005093480971855822,-0.04330802634386443,-0.022486772486772444
MSFT,5,xgb,0.028999948088468924,0.02926152739144372,0.06450285654408056,0.04176186842844178,0.5396825396825397,0.5271164021164021,0.0002615793029747959,-0.022740988115638773,-0.012566137566137559
MSFT,21,elasticnet,0.06604752971779523,0.06945905911328439,-0.039713037434527296,-0.08580878743375141,0.5125661375661376,0.5085978835978836,0.003411529395489152,-0.04609574999922411,-0.003968253968253954
MSFT,21,huber,0.06505423336147685,0.06892655499530422,-0.06475863495853058,-0.11883691551214536,0.5152116402116402,0.49867724867724866,0.0038723216338273636,-0.05407828055361477,-0.016534391534391568
MSFT,21,lgbm_reg,0.06149126545201081,0.061521659341621154,-0.06621942902157034,-0.06177936389694797,0.5383597883597884,0.5403439153439153,3.039388961034728e-05,0.004440065124622368,0.001984126984126977
MSFT,21,pls,0.05912179391451167,0.06248281112931305,0.05543377631344132,-0.04686952847850919,0.5582010582010583,0.5634920634920635,0.003361017214801386,-0.10230330479195052,0.005291005291005235
MSFT,21,xgb,0.0663249312600149,0.06652411262000466,-0.052319292810836,-0.0337102223653065,0.5264550264550265,0.5396825396825397,0.00019918135998975295,0.0186090704455295,0.013227513227513144
