source,ticker,horizon,fold,scheme,window,model,weight
e1,AAPL,5,4,inv_mae,expanding,elasticnet,0.18217696245366496
e1,AAPL,5,4,inv_mae,expanding,huber,0.18854519271938588
e1,AAPL,5,4,inv_mae,expanding,pls,0.20952414733804794
e1,AAPL,5,4,inv_mae,expanding,lgbm_reg,0.22324890999762007
e1,AAPL,5,4,inv_mae,expanding,xgb,0.1965047874912813
e1,AAPL,5,5,inv_mae,expanding,elasticnet,0.18651445555500107
e1,AAPL,5,5,inv_mae,expanding,huber,0.19208314064603635
e1,AAPL,5,5,inv_mae,expanding,pls,0.20509754026454208
e1,AAPL,5,5,inv_mae,expanding,lgbm_reg,0.21673912910198867
e1,AAPL,5,5,inv_mae,expanding,xgb,0.19956573443243172
e1,AAPL,5,6,inv_mae,expanding,elasticnet,0.18775005297824496
e1,AAPL,5,6,inv_mae,expanding,huber,0.18676610675531544
e1,AAPL,5,6,inv_mae,expanding,pls,0.20909235782886765
e1,AAPL,5,6,inv_mae,expanding,lgbm_reg,0.22022734803582994
e1,AAPL,5,6,inv_mae,expanding,xgb,0.19616413440174194
e1,AAPL,5,7,inv_mae,expanding,elasticnet,0.18956750758589824
e1,AAPL,5,7,inv_mae,expanding,huber,0.18718518508655738
e1,AAPL,5,7,inv_mae,expanding,pls,0.21228934581344475
e1,AAPL,5,7,inv_mae,expanding,lgbm_reg,0.21875883525136267
e1,AAPL,5,7,inv_mae,expanding,xgb,0.19219912626273697
e1,AAPL,5,8,inv_mae,expanding,elasticnet,0.19278178337179278
e1,AAPL,5,8,inv_mae,expanding,huber,0.19110846970177253
e1,AAPL,5,8,inv_mae,expanding,pls,0.21159229128611448
e1,AAPL,5,8,inv_mae,expanding,lgbm_reg,0.21494068591850957
e1,AAPL,5,8,inv_mae,expanding,xgb,0.18957676972181056
e1,AAPL,5,9,inv_mae,expanding,elasticnet,0.19177904001443508
e1,AAPL,5,9,inv_mae,expanding,huber,0.1898472166245868
e1,AAPL,5,9,inv_mae,expanding,pls,0.21383555683847427
e1,AAPL,5,9,inv_mae,expanding,lgbm_reg,0.2135513374701835
e1,AAPL,5,9,inv_mae,expanding,xgb,0.1909868490523203
e1,AAPL,5,10,inv_mae,expanding,elasticnet,0.19135654399588856
e1,AAPL,5,10,inv_mae,expanding,huber,0.19120096436645825
e1,AAPL,5,10,inv_mae,expanding,pls,0.21717040005223048
e1,AAPL,5,10,inv_mae,expanding,lgbm_reg,0.2162316722045685
e1,AAPL,5,10,inv_mae,expanding,xgb,0.18404041938085441
e1,AAPL,5,11,inv_mae,expanding,elasticnet,0.1926196450198051
e1,AAPL,5,11,inv_mae,expanding,huber,0.19156723727327185
e1,AAPL,5,11,inv_mae,expanding,pls,0.21703340491418197
e1,AAPL,5,11,inv_mae,expanding,lgbm_reg,0.21443383030139002
e1,AAPL,5,11,inv_mae,expanding,xgb,0.18434588249135103
e1,AAPL,5,12,inv_mae,expanding,elasticnet,0.19482860086765375
e1,AAPL,5,12,inv_mae,expanding,huber,0.19334465052885152
e1,AAPL,5,12,inv_mae,expanding,pls,0.2159923875595668
e1,AAPL,5,12,inv_mae,expanding,lgbm_reg,0.21186316099531452
e1,AAPL,5,12,inv_mae,expanding,xgb,0.18397120004861342
e1,AAPL,5,13,inv_mae,expanding,elasticnet,0.19524888805787538
e1,AAPL,5,13,inv_mae,expanding,huber,0.19362065290545905
e1,AAPL,5,13,inv_mae,expanding,pls,0.2155164343125037
e1,AAPL,5,13,inv_mae,expanding,lgbm_reg,0.21070527665319966
e1,AAPL,5,13,inv_mae,expanding,xgb,0.18490874807096225
e1,AAPL,5,14,inv_mae,expanding,elasticnet,0.1954755329931423
e1,AAPL,5,14,inv_mae,expanding,huber,0.19344220503548226
e1,AAPL,5,14,inv_mae,expanding,pls,0.2140018579058382
e1,AAPL,5,14,inv_mae,expanding,lgbm_reg,0.2101963145069629
e1,AAPL,5,14,inv_mae,expanding,xgb,0.18688408955857436
e1,AAPL,5,0,inv_mae,last3,elasticnet,0.2
e1,AAPL,5,0,inv_mae,last3,huber,0.2
e1,AAPL,5,0,inv_mae,last3,pls,0.2
e1,AAPL,5,0,inv_mae,last3,lgbm_reg,0.2
e1,AAPL,5,0,inv_mae,last3,xgb,0.2
e1,AAPL,5,1,inv_mae,last3,elasticnet,0.18553027957527876
e1,AAPL,5,1,inv_mae,last3,huber,0.17978469082703663
e1,AAPL,5,1,inv_mae,last3,pls,0.20435219539833238
e1,AAPL,5,1,inv_mae,last3,lgbm_reg,0.2284700118179082
e1,AAPL,5,1,inv_mae,last3,xgb,0.20186282238144398
e1,AAPL,5,2,inv_mae,last3,elasticnet,0.2038038770404142
e1,AAPL,5,2,inv_mae,last3,huber,0.200613743095145
e1,AAPL,5,2,inv_mae,last3,pls,0.20972919155988173
e1,AAPL,5,2,inv_mae,last3,lgbm_reg,0.20641681055587682
e1,AAPL,5,2,inv_mae,last3,xgb,0.17943637774868215
e1,AAPL,5,3,inv_mae,last3,elasticnet,0.1822154940051986
e1,AAPL,5,3,inv_mae,last3,huber,0.1901858418195619
e1,AAPL,5,3,inv_mae,last3,pls,0.20185759303762732
e1,AAPL,5,3,inv_mae,last3,lgbm_reg,0.22172157995732114
e1,AAPL,5,3,inv_mae,last3,xgb,0.20401949118029108
e1,AAPL,5,4,inv_mae,last3,elasticnet,0.1809771736648517
e1,AAPL,5,4,inv_mae,last3,huber,0.1916796307769947
e1,AAPL,5,4,inv_mae,last3,pls,0.21131377126967701
e1,AAPL,5,4,inv_mae,last3,lgbm_reg,0.22140383172155206
e1,AAPL,5,4,inv_mae,last3,xgb,0.1946255925669246
e1,AAPL,5,5,inv_mae,last3,elasticnet,0.17427290102727747
e1,AAPL,5,5,inv_mae,last3,huber,0.18538282581787088
e1,AAPL,5,5,inv_mae,last3,pls,0.20100509513237128
e1,AAPL,5,5,inv_mae,last3,lgbm_reg,0.2239174613121018
e1,AAPL,5,5,inv_mae,last3,xgb,0.21542171671037855
e1,AAPL,5,6,inv_mae,last3,elasticnet,0.19461276864687638
e1,AAPL,5,6,inv_mae,last3,huber,0.18239342992848093
