horizon,signal,n,media,p_severa,lift_severa,p_decil_peor,lift_decil,p_ventil_peor,cvar_5,peor_caso
5,BUY,3647.0,0.006579563851969761,0.0510008225939128,1.0,0.09021113243761997,1.0,0.043871675349602415,-0.07144475614185984,-0.16715738956164616
5,HOLD,6673.0,0.0035702231012798217,0.06309006443878315,1.237040134452915,0.10564963284879364,1.171137419451521,0.052300314701034016,-0.08345071622799811,-0.23107290857145846
5,SELL,1020.0,0.0025418630884018476,0.061764705882352944,1.2110531309297914,0.09803921568627451,1.0867751355861492,0.056862745098039215,-0.07695653927690765,-0.12830635875271257
21,BUY,5306.0,0.021881532555999627,0.046551074255559745,1.0,0.10101771579344139,1.0,0.052393516773464,-0.13252348239082498,-0.28327752043194765
21,HOLD,4467.0,0.016453364160071152,0.04275800313409447,0.9185180754230982,0.09760465636892769,0.9662132587565864,0.04925005596597269,-0.14222235712213896,-0.28429597165936726
21,SELL,1567.0,0.013200474226856567,0.03956604977664327,0.8499492312342882,0.10338225909380983,1.023407214089095,0.04403318442884493,-0.1565785467915707,-0.4180839175889767
63,BUY,6719.0,0.0583905952864977,0.05104926328322667,1.0,0.11445155529096591,1.0,0.054472391724959074,-0.2077184627928806,-0.3776776264395777
63,HOLD,3284.0,0.06042283724811116,0.04232643118148599,0.8291291285959311,0.0715590742996346,0.6252346166700193,0.04354445797807552,-0.21556529648315118,-0.42091469266708736
63,SELL,1337.0,0.03128959473531092,0.04338070306656694,0.8497811775634497,0.09723261032161555,0.8495525471403574,0.04338070306656694,-0.20224168686951138,-0.3627946052690397
