ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias,base_rate,dir_acc_vs_base
AAPL,5,hist_mean,3780,0.029202374763588414,0.03847518577150947,0.5695767195767196,-0.046715182982897945,-0.0638318270221947,0.0011853409937270121,0.5695767195767196,0.0
AAPL,5,zero,3780,0.02956950111295587,0.03874931837655747,,,,-0.005004655208949829,0.5695767195767196,
AAPL,5,pls,3780,0.02969949873171504,0.039356626684610846,0.5558201058201058,-0.004114108473977728,0.009653596912788534,0.0033458992666742875,0.5695767195767196,-0.013756613756613856
AAPL,5,lgbm_reg,3780,0.029842604213581314,0.03929314356533821,0.5476190476190477,-0.026294506164931567,-0.03402779172588954,0.0027942943590686348,0.5695767195767196,-0.021957671957671954
AAPL,5,elasticnet,3780,0.030337094487860095,0.04004639027437135,0.5380952380952381,-0.006252106484454448,0.004619160144482749,0.00267812210900637,0.5695767195767196,-0.031481481481481555
AAPL,5,ridge,3780,0.030339059696862063,0.04005902669873209,0.535978835978836,-0.0077679155958870014,0.003020767196780879,0.002624185358826161,0.5695767195767196,-0.03359788359788363
AAPL,5,huber,3780,0.030407413193689933,0.0400795412184244,0.5283068783068783,-0.015337498182094154,-0.006669560813140733,0.0019294708166517508,0.5695767195767196,-0.041269841269841345
AAPL,5,xgb,3780,0.03062990493337732,0.04029815855973418,0.5343915343915344,-0.020811485759472045,-0.031192315290266573,0.0028691689600883366,0.5695767195767196,-0.03518518518518521
AAPL,5,lgbm,3780,0.031115340362408622,0.04086556320368514,0.5370370370370371,-0.015025271835934524,-0.02405347719360439,0.002837345165778507,0.5695767195767196,-0.032539682539682535
AAPL,21,hist_mean,3780,0.06296093737240244,0.07914879824746772,0.6161375661375661,-0.0984066058373116,-0.14922978746532967,0.005104900807917229,0.6161375661375661,0.0
AAPL,21,zero,3780,0.06506660589005236,0.08153194172643924,,,,-0.021278913731460698,0.6161375661375661,
AAPL,21,lgbm_reg,3780,0.06561881218346832,0.08326308496657767,0.5902116402116402,0.02022619641411027,-0.01581863177063265,0.010364270777144545,0.6161375661375661,-0.025925925925925908
AAPL,21,pls,3780,0.06730296629132201,0.08529864036963343,0.5925925925925926,0.0327927589235679,0.05138454863510832,0.015278332493204917,0.6161375661375661,-0.023544973544973535
AAPL,21,ridge,3780,0.06955345015047792,0.0884049167496185,0.5595238095238095,0.030056370489036796,0.04190449000030534,0.011811907735236911,0.6161375661375661,-0.05661375661375656
