ticker,horizon,signal,n,media,p_severa,lift_severa,p_decil_peor,lift_decil,p_ventil_peor,cvar_5,peor_caso
AAPL,5,BUY,1682.0,0.006405974033401341,0.05172413793103448,1.0,0.07907253269916766,1.0,0.03507728894173603,-0.06652800212484479,-0.11298289496804181
AAPL,5,HOLD,2042.0,0.0038442521415326665,0.0842311459353575,1.6284688214169116,0.11704211557296768,1.4801867548400875,0.061704211557296766,-0.09228238995311328,-0.22747424912100112
AAPL,5,SELL,56.0,0.005228312368564144,0.10714285714285714,2.071428571428571,0.10714285714285714,1.3549946294307196,0.07142857142857142,-0.09006912110495052,-0.10128588276366668
AAPL,21,BUY,2737.0,0.020402471821366182,0.062111801242236024,1.0,0.09828279137742053,1.0,0.049689440993788817,-0.14621736885511993,-0.28327752043194765
AAPL,21,HOLD,904.0,0.020949455143136595,0.06526548672566372,1.0507743362831858,0.1084070796460177,1.103011810376024,0.05420353982300885,-0.14685696923612682,-0.28429597165936726
AAPL,21,SELL,139.0,0.04067928834853748,0.06474820143884892,1.0424460431654676,0.07913669064748201,0.8051937632050493,0.02877697841726619,-0.1417978768715902,-0.16941957192618284
AAPL,63,BUY,3231.0,0.062127796814108745,0.06375735066542866,1.0,0.1111111111111111,1.0,0.05478180129990715,-0.22560398366548914,-0.3776776264395777
AAPL,63,HOLD,521.0,0.07995027452635169,0.030710172744721688,0.481672660865028,0.036468330134357005,0.32821497120921306,0.023032629558541268,-0.17189619265078454,-0.2959541721779402
AAPL,63,SELL,28.0,0.0867782936220136,0.0,0.0,0.0,0.0,0.0,-0.037036105260104035,-0.037036105260104035
MSFT,5,BUY,858.0,0.007002331006498376,0.0337995337995338,1.0,0.07342657342657342,1.0,0.04195804195804196,-0.060644996375411556,-0.11427802891491601
MSFT,5,HOLD,2629.0,0.004275050032802067,0.04260174971472042,1.2604241812148318,0.10346139216432103,1.4090456266188482,0.04716622289844047,-0.07198224014390142,-0.1636495100806632
MSFT,5,SELL,293.0,-9.582426017060856e-06,0.08873720136518772,2.6253971990114158,0.14675767918088736,1.9986998212254183,0.09897610921501707,-0.08234824399786711,-0.12830635875271257
MSFT,21,BUY,1355.0,0.018344420773944017,0.028044280442804426,1.0,0.0959409594095941,1.0,0.05830258302583026,-0.11137205769179644,-0.17730040906315958
MSFT,21,HOLD,1961.0,0.020091542495676292,0.02447730749617542,0.8728092541399394,0.09484956654767976,0.9886243282469698,0.04232534421213666,-0.11229007728180598,-0.26084663444058764
MSFT,21,SELL,464.0,0.01380929789203125,0.01293103448275862,0.4610934664246824,0.1336206896551724,1.3927387267904507,0.05818965517241379,-0.10008833444442003,-0.18362697858402177
MSFT,63,BUY,1967.0,0.04462128084691721,0.03507880020335536,1.0,0.1362480935434672,1.0,0.07473309608540925,-0.17271417033343006,-0.2672752645034415
MSFT,63,HOLD,1479.0,0.06927841530856531,0.012846517917511832,0.3662188513586344,0.06355645706558485,0.46647593674628884,0.023664638269100743,-0.13239376846775935,-0.2410847308290074
MSFT,63,SELL,334.0,0.06632628953397013,0.0,0.0,0.04790419161676647,0.35159531682902856,0.020958083832335328,-0.11145217479232644,-0.143379263938481
JPM,5,BUY,1107.0,0.006515646829608903,0.06323396567299007,1.0,0.10478771454381211,1.0,0.052393857271906055,-0.08590995598487525,-0.16715738956164616
JPM,5,HOLD,2002.0,0.0023651495232736813,0.06843156843156843,1.0821963750535177,0.10339660339660339,0.9867244824141375,0.053946053946053944,-0.08575940419444594,-0.23107290857145846
JPM,5,SELL,671.0,0.0034317772106606434,0.046199701937406856,0.7306152863529912,0.08196721311475409,0.7822215941209723,0.03427719821162444,-0.0721490417970251,-0.1233673266304316
JPM,21,BUY,1214.0,0.029164049603262483,0.03212520593080725,1.0,0.0642504118616145,1.0,0.03459637561779242,-0.11615425651387017,-0.19440303110889345
JPM,21,HOLD,1602.0,0.009462768676417693,0.052434456928838954,1.6321905310669358,0.11922596754057428,1.8556451871058612,0.0599250936329588,-0.16742849854579736,-0.27923745459566907
JPM,21,SELL,964.0,0.008945236318604801,0.0487551867219917,1.5176614533461008,0.11307053941908714,1.7598414724970741,0.052904564315352696,-0.18483753620491597,-0.4180839175889767
JPM,63,BUY,1521.0,0.06825867113590167,0.044707429322813935,1.0,0.07889546351084813,1.0,0.036817882971729124,-0.20408287619043175,-0.3546117441534561
JPM,63,HOLD,1284.0,0.042298853779750574,0.08099688473520249,1.8117097306212204,0.11604361370716511,1.4708528037383177,0.06853582554517133,-0.2815043189185326,-0.42091469266708736
JPM,63,SELL,975.0,0.017693759215741844,0.059487179487179485,1.3305882352941176,0.1117948717948718,1.417,0.046153846153846156,-0.22170934557676292,-0.3627946052690397
