source,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
e1,AAPL,5,elasticnet,3780,0.030337094487860095,0.04004639027437135,0.5380952380952381,-0.006252106484454448,0.004619160144482749,0.00267812210900637
e1,AAPL,5,ens_best_recent_expanding,3780,0.030467322344216053,0.04025282668738553,0.5291005291005291,-0.035377319258797335,-0.028756880957559915,0.0027426031889010716
e1,AAPL,5,ens_best_recent_last3,3780,0.03014992160217614,0.03984911833309975,0.5457671957671958,-0.008790044821114925,-0.001493591643402585,0.0024897838360997473
e1,AAPL,5,ens_equal_expanding,3780,0.029861816107580246,0.03939658062246285,0.5455026455026455,-0.017604659241748387,-0.025121496256124472,0.0027233911022978763
e1,AAPL,5,ens_inv_mae_expanding,3780,0.02985923307109917,0.039395987800304524,0.5455026455026455,-0.0189371945357052,-0.026608103322833226,0.0027449009841552263
e1,AAPL,5,ens_inv_mae_last3,3780,0.029854012681727656,0.03939508081622311,0.5452380952380952,-0.01865560264963627,-0.02625965880593386,0.002724404103624776
e1,AAPL,5,ens_mae_da_expanding,3780,0.029818284482295617,0.03940723892191436,0.5478835978835979,-0.037271203540504234,-0.0366210664777815,0.002924125849833265
e1,AAPL,5,ens_mae_da_last3,3780,0.029818847645853564,0.03945514301295323,0.5518518518518518,-0.03353084183552743,-0.02786251735885997,0.0025373983216334067
e1,AAPL,5,ens_softmax_ic_expanding,3780,0.02998532647275212,0.03957489581866311,0.5462962962962963,-0.027332876698464462,-0.030003898040775395,0.0026335867446720066
e1,AAPL,5,ens_softmax_ic_last3,3780,0.029921582093218685,0.039502700636783114,0.546031746031746,-0.016233119008213878,-0.01668768655344105,0.0024362347934179782
e1,AAPL,5,huber,3780,0.030407413193689933,0.0400795412184244,0.5283068783068783,-0.015337498182094154,-0.006669560813140733,0.0019294708166517508
e1,AAPL,5,lgbm_reg,3780,0.029842604213581314,0.03929314356533821,0.5476190476190477,-0.026294506164931567,-0.03402779172588954,0.0027942943590686348
e1,AAPL,5,pls,3780,0.02969949873171504,0.039356626684610846,0.5558201058201058,-0.004114108473977728,0.009653596912788534,0.0033458992666742875
e1,AAPL,5,xgb,3780,0.03062990493337732,0.04029815855973418,0.5343915343915344,-0.020811485759472045,-0.031192315290266573,0.0028691689600883366
e1,AAPL,21,elasticnet,3780,0.06987973658371194,0.08887456465204292,0.5597883597883598,0.027236108971509486,0.03795788657437607,0.011509987482887903
e1,AAPL,21,ens_best_recent_expanding,3780,0.06818909037808776,0.08666162749720002,0.5693121693121693,0.010325417781036893,0.03547381574111187,0.011238237678751753
e1,AAPL,21,ens_best_recent_last3,3780,0.06756681031260013,0.08607245211512984,0.5772486772486772,-0.008072428037067944,0.006609763494180413,0.011714975551647498
e1,AAPL,21,ens_equal_expanding,3780,0.0671785690215049,0.08531073224475719,0.5902116402116402,0.02061215161219867,0.02486550569218193,0.013013781101510922
e1,AAPL,21,ens_inv_mae_expanding,3780,0.06690283397119118,0.08491243156411907,0.5931216931216932,0.019741378255145804,0.019975523333233314,0.012850720276603491
e1,AAPL,21,ens_inv_mae_last3,3780,0.06700770382517854,0.08504029935945454,0.5907407407407408,0.01791128887965545,0.01967299174355052,0.012939443794145637
e1,AAPL,21,ens_mae_da_expanding,3780,0.06614417679722322,0.08380060447969903,0.5912698412698413,0.01598618359670081,-0.009336308983008376,0.012146398112909162
e1,AAPL,21,ens_mae_da_last3,3780,0.06656862711734758,0.08429674140713857,0.5833333333333334,0.016694596748761018,0.008090771723492225,0.01320959429213869
e1,AAPL,21,ens_softmax_ic_expanding,3780,0.06724600270200615,0.08536527431420862,0.5830687830687831,0.0052472677735828,0.020635006063310517,0.012015392335794427
e1,AAPL,21,ens_softmax_ic_last3,3780,0.06773089842310251,0.08595134238660081,0.5814814814814815,-0.0007299727283848581,0.01187019856691665,0.012035833304622311
e1,AAPL,21,huber,3780,0.07153701054638124,0.09108007957228591,0.5727513227513228,0.015489354240011206,0.029370462631179938,0.01638400067954067
e1,AAPL,21,lgbm_reg,3780,0.06561881218346832,0.08326308496657767,0.5902116402116402,0.02022619641411027,-0.01581863177063265,0.010364270777144545
e1,AAPL,21,pls,3780,0.06730296629132201,0.08529864036963343,0.5925925925925926,0.0327927589235679,0.05138454863510832,0.015278332493204917
e1,AAPL,21,xgb,3780,0.0703772508525648,0.08963300725902076,0.5658730158730159,-0.0028955061500465155,-0.01016331645972234,0.01153231407477656
e1,AAPL,63,elasticnet,3780,0.13389942451747175,0.17150918043739757,0.6312169312169312,0.05552873399763986,0.047539669869841344,0.03726480829016703
e1,AAPL,63,ens_best_recent_expanding,3780,0.12758741977744978,0.16216955324114954,0.6624338624338625,0.06898328101554445,0.02227936783845926,0.037034318076159894
e1,AAPL,63,ens_best_recent_last3,3780,0.12820888826390825,0.16200589335694643,0.6592592592592592,0.08536825323190042,0.043482876490074866,0.03877216290998444
e1,AAPL,63,ens_equal_expanding,3780,0.12606834066776623,0.1611541918456938,0.665079365079365,0.07941437728663442,0.04042224744703727,0.03723742819230862
e1,AAPL,63,ens_inv_mae_expanding,3780,0.12495703216769842,0.15955099314320065,0.665079365079365,0.08649653874919702,0.045865881758174507,0.0375907073874717
e1,AAPL,63,ens_inv_mae_last3,3780,0.12495414500361882,0.15972301815290954,0.6637566137566138,0.08587989442537963,0.04810950411422514,0.03741695663296003
e1,AAPL,63,ens_mae_da_expanding,3780,0.12341910376140207,0.15672126168580228,0.6698412698412698,0.09917744850488176,0.048572396900561574,0.037188554266217186
e1,AAPL,63,ens_mae_da_last3,3780,0.12246631507220637,0.15565285904612894,0.6698412698412698,0.11723569921037996,0.07582263198610417,0.037564768650319956
e1,AAPL,63,ens_softmax_ic_expanding,3780,0.1246624070523376,0.1589663205518872,0.6682539682539682,0.0843740531052856,0.039070377281775204,0.036280935486772845
e1,AAPL,63,ens_softmax_ic_last3,3780,0.12544576781313288,0.15910883654474522,0.6634920634920635,0.09861014747570435,0.05513066173918379,0.03646617187063699
e1,AAPL,63,huber,3780,0.13940292141818802,0.1786459727559096,0.6335978835978836,0.02558506382702517,0.006109911097740733,0.041604507296785394
e1,AAPL,63,lgbm_reg,3780,0.122334217688996,0.15585911823824652,0.6653439153439153,0.0843079389654907,0.04875193354503369,0.03328958196236888
e1,AAPL,63,pls,3780,0.1245677448877071,0.15892063402947923,0.6693121693121693,0.1135886953428644,0.08130865988576987,0.04047080291617284
e1,AAPL,63,xgb,3780,0.1320496778235863,0.16643386345953212,0.6309523809523809,0.09163972404517573,0.05522585845657799,0.03355744049604896
e1,JPM,5,elasticnet,3780,0.030222620816429215,0.04062994185813771,0.5145502645502645,0.08360957351250962,0.044466808762656115,-3.752514432259771e-06
e1,JPM,5,ens_best_recent_expanding,3780,0.02853340408550718,0.038441103017394916,0.5111111111111111,0.092794097163419,0.04088108571459562,0.0008326898293412163
e1,JPM,5,ens_best_recent_last3,3780,0.028747811329657286,0.039024780240077744,0.521957671957672,0.0774644339314238,0.03849002248487019,-0.00038395580736866455
