setup,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
market,AAPL,5,elasticnet,1512,0.03174370308001338,0.04259702529596144,0.5403439153439153,0.025878526916686344,0.05615112093315775,0.00020789524346692472
market,AAPL,5,huber,1512,0.03217254374755121,0.043045020427192715,0.5251322751322751,0.05473949069746559,0.03944228613398477,0.0025674595781201184
market,AAPL,5,lgbm_reg,1512,0.03145290045863647,0.04161866875815038,0.5548941798941799,0.09976576478903763,0.08475932455141105,0.00042369871840084437
market,AAPL,5,pls,1512,0.031338833295478416,0.04184885513396641,0.5582010582010583,0.09780783254268743,0.101268950186975,0.0013247215081354125
market,AAPL,5,xgb,1512,0.03214477014340016,0.04248238497311245,0.5211640211640212,0.07185668193660269,0.05080798599623074,-0.000738930419623079
market,AAPL,21,elasticnet,1512,0.07142029473560269,0.09241109587193054,0.5205026455026455,-0.05350702472207332,0.05366586138020821,0.011038622171290115
market,AAPL,21,huber,1512,0.06944591481945857,0.08755355282030323,0.53505291005291,0.10745930042314299,0.1324192568631346,0.015008701160328044
market,AAPL,21,lgbm_reg,1512,0.06671093995588825,0.0840406138974668,0.6038359788359788,0.08278965907794533,0.0458932636725102,0.0014179404817282336
market,AAPL,21,pls,1512,0.06696844344212603,0.08681521864663648,0.5747354497354498,0.033020892875683806,0.13067753840531396,-0.00011415872186988926
market,AAPL,21,xgb,1512,0.0672887346404436,0.08469937559997363,0.5542328042328042,0.14805615794368288,0.1114905295297773,0.0046466758043898805
market,AAPL,63,elasticnet,1512,0.12240809664262227,0.15940218792507174,0.6078042328042328,0.14458592737703851,0.14936760576622124,0.031227842055587346
market,AAPL,63,huber,1512,0.12690043244671625,0.16559308583578655,0.6025132275132276,-0.026281076908996424,0.053746214364557135,0.021309663512544534
market,AAPL,63,lgbm_reg,1512,0.12033896076987473,0.15348535183914613,0.6203703703703703,0.06887876781396388,0.05781124076487116,0.0014381804342396174
market,AAPL,63,pls,1512,0.1205030171835704,0.15664247444357882,0.6144179894179894,-0.006720495062566242,0.008999503002940232,-0.0023373699742143613
market,AAPL,63,xgb,1512,0.12122823209694321,0.14993410536830598,0.6018518518518519,0.19733290670710849,0.1565553517723072,0.0033107369355776044
market,JPM,5,elasticnet,1512,0.03330806871423029,0.04501151521040229,0.4669312169312169,0.047899095015940495,-0.0037368633439239718,0.0013204011689190796
market,JPM,5,huber,1512,0.03281244471284318,0.04495710320749311,0.49272486772486773,0.05294915262857428,-0.007932430583152317,0.0016571885249259534
market,JPM,5,lgbm_reg,1512,0.030296933919249872,0.042025798314687446,0.5324074074074074,-0.023999019207314124,-0.006191618236116158,0.0010542538548068139
market,JPM,5,pls,1512,0.031187206926067856,0.042391327541945925,0.49537037037037035,0.032341704241262384,-0.010493224582006373,0.001131018508910568
market,JPM,5,xgb,1512,0.03089457796341796,0.042944793175815225,0.5436507936507936,0.1004736680812867,0.0731382043349656,0.0053972070926933515
market,JPM,21,elasticnet,1512,0.07633179390818962,0.09955518830485129,0.49933862433862436,0.05532942194422496,-0.021160069358935312,-0.005646943509559994
market,JPM,21,huber,1512,0.07340289030143624,0.09985351851929893,0.5046296296296297,0.04154015179409955,-0.037770759371945295,-0.006523232959540643
market,JPM,21,lgbm_reg,1512,0.06181269163272656,0.08229453988230002,0.5522486772486772,0.03203539147475552,0.012510870563190318,-0.0007651429687212061
