feature
ret_1d
ret_5d
ret_21d
ret_63d
vol_21d
vol_63d
vol_ratio_21_63
px_vs_sma20
px_vs_sma50
px_vs_sma200
mom_21_63
rsi_14
volchg_5_63
range_21d
dist_52w_high
spy_ret_1d
spy_ret_5d
spy_ret_21d
spy_ret_63d
spy_vol_21d
vix_level
vix_chg_5d
vix_z_252
fx_ret_1d
fx_ret_5d
fx_ret_21d
fx_vol_21d
excess_ret_21d
excess_ret_63d
